x,y,index
3465.693958254479,1498.6071981494033,1
3456.801340334377,1493.797621045178,1
3478.52021779669,1510.2419497664987,1
3372.233885959801,1539.7167430499946,2
3356.703722195693,1528.5590781139028,3
3355.0960769833073,1569.2351829963786,3
3504.8753553782813,1611.4638093649014,4
3528.728596406351,1588.3791514400418,4
3526.361988504307,1471.8084482005822,5
3509.842128204766,1459.9150244300874,5
3529.926646380839,1445.9779386131627,5
3519.1085454336207,1459.8353315865377,5
3431.173181877802,432.8737680183109,6
3360.2424408795564,310.70174670014876,7
3366.7134412101123,370.8986096754893,8
3336.3140178897374,373.75389320997346,8
3382.6066107023817,349.241141110178,8
3499.456948019115,399.935326713821,9
3478.1495177493475,433.3803935007784,9
3377.143282482727,418.45157444079376,10
3427.2651741428976,308.1582707737216,11
3449.1167843123494,309.64928566033404,11
3454.905953529614,321.65635515794503,11
3306.8404634648095,321.1288970285662,12
1231.309120502504,2169.05608561643,13
1253.9048804068407,2162.195863042106,13
1425.5984705920612,2030.8020509957646,14
1473.86854469261,2042.8272036046726,15
1461.6758509106044,2008.1382560344964,15
1356.6584763223948,2061.182756651459,16
1341.7439770032586,2084.7763373570074,16
1314.3602069099627,2035.3725019935732,17
1388.98055938484,2086.919041199785,18
1388.075435732173,2100.5122134108233,18
1415.9277245939752,2111.803181942921,18
1984.0060228425316,3939.861104639381,19
2008.2883617331775,3932.35120067825,19
1968.3039638934938,3934.841319620201,19
1961.5644467676102,3930.6402313909025,19
1976.093560588349,3948.108292983913,19
1988.2547874481984,4075.033047141945,20
1958.6728134808293,4095.240526937136,20
1886.5666556590336,3971.1691377926327,21
1868.9548558255904,3939.123887303784,22
1969.0352886872442,3976.460390326407,23
1959.1956619376547,3964.989660684736,23
1949.0223670530963,3958.7454881589515,23
2736.663030250878,1080.1902801303113,24
2714.9427830559803,1071.5592955082811,24
2725.961413223754,1084.2450139536263,24
2822.772430212832,1037.839504229786,25
2811.1147358239346,1027.9767943051181,25
2783.1046929122854,1016.2229840278633,25
2833.823300089585,1015.6374049048319,25
2813.262730038871,1070.1501291265945,26
2817.3273687883975,1063.2957521971118,26
2726.2639811021118,1070.760232690076,27
2734.3309354185258,1028.7835690344043,28
2752.4613340159735,1030.2723891859557,29
2732.1656430192656,1079.5696777436747,29
2695.02532724997,1028.311135411165,30
3519.452837873789,2158.6034062107456,31
3438.257193038329,2235.6483198373644,32
3452.6159221099288,2241.5425203409864,32
3462.795531079535,2373.369912599415,33
3434.2398754120586,2258.3927185916027,34
3406.375878969763,2253.2786612718583,34
3419.8194327261294,2263.318990642603,34
3566.335376957225,2241.4256244568255,35
3572.187448391163,2228.0124425464123,35
7.45705743276142,1385.2143670011262,36
-13.731625957929353,1414.2036032735627,36
122.61538989051705,1407.3823433300026,37
93.39331946398492,1412.3037709183131,38
117.31951750833684,1388.513895890771,38
88.8196390228935,1438.0919492232476,38
64.27943424520734,1543.6951532521791,39
530.0188562824245,1345.8374151372225,40
525.3607023131384,1370.566832749656,41
580.3722127568261,1325.393969961575,42
578.7345106979394,1304.1452166827721,42
603.4102691644379,1271.274527430813,42
585.5234559097732,1332.4423212624272,42
589.5802712490977,1316.572388818723,42
479.09892561643295,1373.1561729207951,43
473.46980594499087,1405.2480691880355,43
593.1736025283666,1345.103595383777,44
568.5066330213276,1361.6742335543372,44
493.78538733335824,1511.7570167548272,45
479.25692498974934,1436.799117771363,46
237.7714582839589,2850.8126131636923,47
228.84406103339037,2813.1305070928233,47
258.2513318543553,2836.197297478973,47
413.2719177701521,2881.849661987462,48
387.764660240255,2785.1426679057377,49
365.43835780073795,2758.155603665367,49
376.9365842581368,2757.3871019808016,49
341.20322428711705,2742.5000904450444,50
356.6203722846405,2748.735493327904,50
327.6646907832477,2789.6937068012858,51
328.1635666437198,2775.370932785106,51
319.9912287052037,2826.6308387289982,52
1464.7886171853504,2142.161368928565,53
1468.2625412997754,2174.775056314705,53
1538.5165425395485,2111.532181114397,54
1500.6341196692756,2055.195381025382,55
1471.1775519650614,2119.68260149124,56
1473.3725225168257,2108.237697239277,56
1526.9176755761541,1998.3002553268288,57
417.50391363664886,2509.8910253887734,58
537.3039288462495,2487.964134005423,59
476.56514789846113,2512.3019543962587,60
384.0213887032424,2492.2208330184176,61
562.7976100496326,2412.4792173021174,62
365.03087054747357,2458.841735755895,63
460.82059695605477,2443.806019140149,64
534.020139398057,748.2400167487637,65
550.1220112029155,773.9266763414481,66
573.7873156600293,776.0177036403119,66
559.7742191094528,782.2508497976431,66
571.2155941202706,782.671709857838,66
547.5609841920833,799.168187744832,66
631.0144912503825,763.2638919123749,67
645.8992908451495,752.6272464456572,67
557.8525342800198,826.2157244263292,68
564.7372368998202,819.2239830139422,68
543.0961398751989,816.696168676253,68
704.1074561111449,746.2207244542248,69
682.1779893145385,752.2724220921757,69
534.9843067885938,721.569057486034,70
553.8959284721352,696.319859612219,70
532.7950376845008,710.2397257354199,70
551.9070262828142,723.1907548882089,70
540.2757197109574,715.984644492217,70
564.4896750593917,703.0217514818803,70
592.2317851879521,811.3724389971314,71
573.5598410866146,828.6729982766534,71
2274.62628408646,3173.7264607922652,72
2294.9136230079393,3257.712083693397,73
2272.2703056483447,3247.936075746422,73
2292.368121628085,3311.8312387127,74
2271.4251776662113,3245.1731312084285,75
2268.395955277513,3252.855449892636,75
3168.0274679195204,3638.4168291267342,76
3165.439761239433,3615.1464120263845,76
3126.8189479006005,3603.9764422482467,77
3101.342313756997,3590.592388886383,78
3145.0459162619586,3710.601762993141,79
3138.7745887046476,3708.336378854449,79
3187.6657639088976,3701.474556483909,79
3105.3626411421624,3685.8283427673946,80
3110.6406870050932,3676.4715615369914,80
3108.937151924963,3700.074284936468,80
3100.8057686428347,3699.3065902295757,80
3072.327655695868,3680.4864416308606,81
3105.2838352592103,3644.0127604063646,81
3910.3946349267208,975.1760066414838,82
3874.860761933879,831.3882194211386,83
3891.291279290515,840.2493464764749,83
3993.5891465226314,935.6872272411163,84
3998.176727355232,921.1873316707126,84
3976.106912631869,846.2156285096029,85
3936.679957513248,867.4622595521463,85
3958.5127582490777,857.2074433945426,85
3898.25215234905,928.6156619480114,86
3890.5457987406767,881.8341687098863,86
3862.47161748095,884.6313726547447,86
4081.796206474085,874.0408742550072,87
3841.2615699030025,901.6994921576253,88
3816.230504305511,983.0076271404442,89
3982.033704681105,953.262633570363,90
3998.908188707613,980.9912368983479,90
3984.2621177145315,972.6020774920328,90
3991.3298571690416,966.271118488192,90
999.6137340506573,2149.898233937032,91
980.1280257820071,2171.9405039250237,91
1006.6713890886858,2173.140216937343,91
1009.0117945453942,2208.0147983981165,92
978.7618563869312,2234.926170039056,92
964.6857241807193,2264.1728861284037,93
956.4534225974452,2313.707570389675,94
986.5130576059925,2306.2061078679103,94
998.99613019344,2306.8435980932736,94
2344.677684679322,13.046865519931988,95
2371.429059706,15.487147542498036,96
2244.05464987198,-89.2648246265568,97
2259.192978872964,-97.36020430202838,97
2366.140684755593,-46.512874605968065,98
2276.2426436761566,29.677915567991686,99
2442.2647976094345,-77.16995508675234,100
506.2124635158102,3705.9403092568427,101
461.525951818462,3768.7183824723843,101
385.4316827653378,3736.146014193115,102
445.6080110140409,3685.9135893405237,103
375.46772719866976,3716.100101032458,104
365.3433741940717,3665.467721819383,105
493.5279097220949,3639.6490757069814,106
465.3086652529374,3609.838793194734,106
2417.94859335635,3165.9858425965563,107
2440.076700085255,3172.921022948347,107
2432.583927803502,3152.202099491011,107
2432.1093597240138,3239.6849116773174,108
2442.474380106346,3228.876351366464,108
155.7788306909535,3783.2855582044845,109
194.39392205128064,3794.051307773418,109
171.6826870103971,3811.4024307853056,109
180.5493460033936,3841.6607205826563,109
71.89522920922988,3634.4074376555695,110
26.12792231555032,3720.973222520755,111
-35.07461878028205,3704.7099953229895,112
-51.07796913942226,3681.1751392894985,112
3848.1631669485264,1816.9963903288647,113
3806.5256760945545,1862.631775992741,114
3820.3807374467488,1818.5646357201188,115
3846.7830780249606,1872.3127118940229,116
3832.582667722955,1856.7354488866474,116
3831.5489585119417,1847.498056684713,116
3857.2573872494613,1958.2995246344653,117
3863.6630815789904,1961.6808216305312,117
3842.7244626120255,1874.1431654230335,118
3819.4077113397243,1896.7201127395406,118
400.5364096281581,2993.4441054038316,119
372.60320846222885,3060.953138081869,120
353.0325422485552,3074.4674035395483,120
359.0787879578513,3052.3581252172794,120
402.1438191552679,3108.045554614243,121
388.25057913893335,3066.92803540351,122
339.93733680318246,3059.917555468908,122
335.61738676699963,3088.129349739796,122
362.16565028966016,3066.7702302177313,122
301.75230360193683,3049.8830660212316,123
325.760427366211,3051.7843614255767,123
310.02263919926475,3062.537418937847,123
316.74786895037363,3062.4482688298713,123
342.035207165552,3033.2882742837946,123
3328.858546037049,1803.9514174737951,124
3383.324136045579,1903.7472968204083,125
3387.6708790632415,1896.217719936162,125
3365.5337502497778,1911.9045314829827,126
3313.887852533833,1832.7176871167435,127
3369.2949570885394,1843.8308707651915,127
2313.809450067168,1281.3020684609467,128
2261.327863128373,1190.3622919100503,129
2280.4577445613745,1174.3970562578538,129
2275.6144058792556,1185.630645391284,129
2245.0634719768123,1197.9702522337766,129
2251.9393969775206,1183.901174488014,129
2270.165409656496,1180.2855366738006,129
2259.8671390502923,1181.8227777230509,129
2296.8629307439232,1129.21418520708,130
2296.7371881029417,1116.5414709999654,130
